Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2008-12-31,39686395242.06011,4.49722309235034,0.0,0.1695860830229311,2.2180246537508856,11.437116468558942,1.7119339738995187,0.0,0.0,0.0,8.030947095899812,8.7986135768263,0.6044373278031525,0.0151515151515151,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.1330557337159037,0.14968230660286522,8.765157747959464,0.30428087384810204,0.19393215587585538,0.12495946189332983,0.6860942328773915,0.010025193409971711,2.0461493715008885,0.02795579169483392,0.03141999961542738,1.8507870477378088,0.04717739799092352,0.08176732747259596,-0.00018093590704555684,0.0055041724948379,0.20422274375704194,0.3043759342301943,0.3247033831709335
2009,2009-12-31,2009-12-31,87925843913.31206,5.692891743909499,0.0,0.1796112764329028,4.148883555681616,15.048572109356911,2.7253311142968126,0.0,0.0,0.0,10.0770964674007,11.535369850535902,0.6260505511010457,0.5223880597014925,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.16101152541073763,0.1811023062182926,10.615944795697272,0.35145827183902556,0.27569948334845135,0.12477852598628428,0.58401097983647,0.010025193409971711,2.0461493715008885,0.02795579169483392,0.03141999961542738,1.8507870477378088,0.04717739799092352,0.08176732747259596,-0.00018093590704555684,0.5426229128113601,0.08510971276246757,0.25335115408410386,0.12391062304027525
2010,2010-12-31,2010-12-31,84579419297.0693,7.254585553148892,0.0598952481374565,0.1645287573630241,3.231281992328683,11.139849417644832,2.048926694861039,0.0,0.0,0.0,3.999299719887955,13.414189338392935,0.6447256232734218,0.2941176470588236,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.14701560906466613,0.18392768322484376,4.157863145258103,0.35404658776985776,0.29006514102520375,0.2510758850370883,0.5068365283227602,-0.015082519069878703,-6.077796747512745,-0.013995916346071502,0.0028253770065511663,-6.458081650439169,0.002588315930832197,0.014365657676752408,0.126297359050804,0.3043582281462869,0.23975907042889422,0.24888928135150007,0.2767410522766838
2011,2011-12-31,2011-12-31,98566461021.09589,9.006968142964935,0.0579270813238901,0.1487700778672055,2.752815222822738,10.71638708237608,1.7945732396783196,0.0,0.0,0.0,5.699315606417592,9.377681407485923,0.6520775623268698,0.1287878787878787,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.13416650591120788,0.16746065869808238,5.91921911814204,0.3097744360902256,0.25687903970452447,0.24815547338550176,0.522294485628462,-0.015758679495818606,1.7000158865296369,-0.012849103153458247,-0.01646702452676138,1.761355972883937,-0.044272151679632166,-0.033186101320679284,-0.0029204116515865186,0.1448559670781893,0.2927594556802292,0.13110490318851747,0.3075010579771477
2012,2012-12-31,2012-12-31,106606766116.15517,10.958462635845027,0.0590311094053178,0.1331162454052879,2.3088742624046867,10.789584252226428,1.6153910076853542,0.0,40.85940594059406,0.0,3.952919020715631,8.680336139379227,0.5887593423019432,0.087248322147651,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.11446939167146421,0.14971763229449905,4.216642254307038,0.2543099152964624,0.21399103139013453,0.30792721188035976,0.5349261178276722,-0.015653832461917594,-1.746396585701961,-0.01969711423974367,-0.01774302640358333,-1.7025768638350023,-0.05546452079376318,-0.042888008314389936,0.05977173849485801,0.10270103728047653,0.32370399683419077,0.08669732583886902,0.19516931666464377
2013,2013-12-31,2013-12-31,173045538965.4479,13.115530144069146,0.047286332491886,0.1267919496037305,3.1207444875127104,14.450351313115162,2.1383653342203885,0.0,60.69953051643193,0.0,4.281305003771688,16.520532604676394,0.567772670288341,0.1790123456790122,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.11648034619545619,0.1479801624116643,4.581719889363842,0.23344755536982867,0.21596322607605517,0.27043031073543394,0.5393526866209881,-0.006324295801557411,0.3283859830560574,0.002010954523991984,-0.0017374698828347412,0.3650776350568039,-0.02086235992663374,0.0019721946859206363,-0.03749690114492582,0.2033156375151346,0.19232685600398605,0.0945141065830721,0.14982566602349276
2014,2014-12-31,2014-12-31,345581523609.536,7.730036305564614,0.03993655296531,0.1210392476538614,5.434637711694307,24.833254196173915,3.4324547713831195,0.0,0.0,0.0,4.519547753644749,31.41731835066445,0.6107483219951213,-0.450261780104712,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.11014771262763759,0.1382200956937799,4.801249628086879,0.24993560703625703,0.2188451690125907,0.25486124401913873,0.5033134298765376,-0.005752701949869099,0.23824274987306016,-0.006332633567818602,-0.009760066717884402,0.21952973872303705,0.01648805166642836,0.002881942936535542,-0.01556906671629521,0.11795665634674922,0.10323443376514835,0.18115423170557068,0.18674007124562075
2015,2015-12-31,2016-02-11,521461191886.2585,8.7857023961494,0.0353991902943829,0.1280523483599393,7.104911278804337,32.59054268939678,4.427705178933596,0.0,0.0,0.0,4.50414293112377,33.07406989175358,0.6244249156542959,0.0857142857142855,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.11086321128976476,0.13585859005576287,4.666701191092698,0.25817119844243824,0.21800530744509194,0.22546143554030135,0.5085344599589043,0.007013100706077913,-0.015404822520978634,0.0007154986621271675,-0.002361505638017042,-0.13454843699418095,0.008235591406181214,-0.0008398615674987675,-0.029399808478837386,0.13181944059817224,0.13617975485219921,0.17361784675072744,0.16162242619697345
2016,2016-12-31,2017-02-03,536050012908.8375,10.107560055121708,0.0234929580828313,0.1337890941499335,6.037675169585669,27.981980332109945,3.9200855383414193,0.0,131.11194029850745,0.0,6.001730723322988,21.10567738959253,0.6107541651896491,0.2192982456140351,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.11628864994596919,0.140093213268506,6.290761518262115,0.26271712158808935,0.2157701169797944,0.20470237923990908,0.5389469662143203,0.0057367457899941965,1.4975877921992184,0.005425438656204429,0.004234623212743122,1.624060327169417,0.0045459231456511096,-0.0022351904652975485,-0.020759056300392265,0.19146072914117934,0.2038032244729227,0.225,0.17744794447410572
2017,2017-12-31,2018-02-06,723311223009.1,11.002261311644991,0.0201170835550824,0.0777936998051054,6.585695034135583,57.65733873077713,4.787197695827596,0.0,60.858477970627504,0.0,4.985981888103213,30.53738331907391,0.5888051959767263,-0.3525179856115107,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.06417800755214273,0.08302841929941902,5.140305173055452,0.2358576518876009,0.11422128005051645,0.2937207380886808,0.5618743505917535,-0.0559953943448281,-1.0157488352197754,-0.052110642393826456,-0.057064793969086966,-1.1504563452066625,-0.026859469700488442,-0.10154883692927795,0.08901835884877174,-0.3499332580347058,0.22801090038993266,0.10246247259234272,0.18387927594587733
2018,2018-12-31,2019-02-05,713631165376.96,12.777709041278394,0.0172342692188735,0.1275272094755467,5.30862062562188,23.63092677566892,4.088995909298984,0.0,53.79313459801265,0.0,3.764673599075679,31.811499885115627,0.5647607422945643,1.4333333333333331,Internet Content & Information,Communication Services,117.02,1489594356756,33201604,GOOGL,0.13203202859204782,0.17303578264688,3.919006354708261,0.19237825155862856,0.22464716157843576,0.3105591460805729,0.5877306780301729,0.04973350967044128,-1.221308289027534,0.0678540210399051,0.09000736334746097,-1.2212988183471913,-0.04347940032897235,0.11042588152791931,0.016838407991892068,1.4274206286526616,0.23421586757475982,0.00669318442591601,0.18381541855619563
